,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
71,0.6591901779174805,0.029043255169226446,0.004395818710327149,0.0002523340784720294,0.01,"(50, 50)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.7189107899515739,0.7821349110032364,0.7137439320388349,0.6848579085760518,0.7012091561256305,0.7201757871857555,0.03313166983552437,241,0.6980920511685272,0.7766987395381268,0.6993862631187,0.7066078938375444,0.7025193614817061,0.716660861828921,0.030162239463515303
72,0.7135118007659912,0.018715521622682085,0.004082012176513672,0.0002596445275416484,0.01,"(50, 50)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.7189107899515739,0.8898791464401296,0.8973376820388349,0.6848579085760518,0.9078430378463334,0.8197182425565408,0.09702141186478053,221,0.6980920511685272,0.8960179202477861,0.8954774683304264,0.7066078938375444,0.9003203488225187,0.8193031364813607,0.09554456603468027
73,0.7719955921173096,0.03153600829846607,0.0040802001953125,0.0001106427237927743,0.01,"(50, 50)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.8952406174334141,0.9056558454692556,0.8901446197411003,0.704275384304207,0.9003048239499101,0.8591229857658799,0.07759557179899598,201,0.8888114306947914,0.9196686176401451,0.8900871715757058,0.7154011018423959,0.9005649336087527,0.8629066510723582,0.07457585728368937
74,0.8084119319915771,0.0466704855017573,0.004073905944824219,0.00017764161147111452,0.01,"(50, 50)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.8985982899515739,0.9056558454692556,0.8901446197411003,0.9063637742718447,0.891809678318842,0.898516147231838,0.006746406322909108,181,0.8873428655007749,0.9196686176401451,0.8900871715757058,0.905540619820916,0.889042798981706,0.8983364147038497,0.012507940541452742
75,0.7748213768005371,0.03976006925177295,0.004713916778564453,0.0002904446640369804,0.01,"(50, 50)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.9159131608151735,0.8959471076051782,0.8953529530744336,0.9063637742718447,0.9063727851149586,0.9039923532556393,0.007654180105512491,165,0.9125434837607919,0.9081464830130983,0.894647432162025,0.905540619820916,0.9045067165074792,0.9050769470528621,0.005907387876057583
76,0.8080883502960206,0.03302725202633832,0.0051152706146240234,0.00043641956602343766,0.01,"(50, 50)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.9034409049636803,0.9017495954692556,0.9107756877022652,0.9063637742718447,0.9063727851149586,0.9057398128510965,0.003077757806329589,141,0.8912870402580564,0.9160855557508942,0.9125250126915337,0.905540619820916,0.9045067165074792,0.905988989005776,0.00852297752343777
77,0.8221378326416016,0.12019900269946265,0.005703639984130859,0.0003941014659420883,0.01,"(50, 50)",9,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.9341202582728005,0.8900308454692558,0.9137591019417476,0.9225197208737864,0.9274062713883748,0.9175689265205711,0.015286029911599545,121,0.9193279387116158,0.9085936990733698,0.9186961597493695,0.9072504706237914,0.9372289629447139,0.9182194462205722,0.010731180468721131
78,0.863120698928833,0.020619260756358806,0.005458164215087891,0.0006125596531854692,0.01,"(50, 50)",10,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.9283633474576272,0.8997395833333334,0.9156553398058253,0.9382964199029127,0.9261926791553652,0.9216500193250585,0.013106038820159772,101,0.9197374766768919,0.9146579804560261,0.9229170576185746,0.9172565349051739,0.9351064644607843,0.9219351028234902,0.007129152418030194
79,1.1768295288085937,0.14982332604763515,0.005972051620483398,0.00014196921326931327,0.01,"(50, 50)",15,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.9382093674334141,0.9318997775080907,0.9357175364077671,0.9431760720064726,0.9400206595857944,0.9378042274897771,0.0038247684115981675,81,0.9338742449637899,0.9361055856574806,0.9351509057903024,0.9288734856580733,0.9412327310112188,0.9350473906161729,0.003971959241801527
80,1.3390904903411864,0.10102394370126327,0.006386280059814453,0.0005315369914201451,0.01,"(50, 50)",20,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.9382093674334141,0.9246182241100325,0.9395985032362459,0.943087580906149,0.9561649217977645,0.940331208050901,0.010098828731576814,77,0.9338742449637899,0.929131662067426,0.9413366703342072,0.9326576367475699,0.9581639598494036,0.9390328347924793,0.010359488641924559
